Date,RANDWICK_SO2,PENRITH_SO2,RANDWICK_NO,PENRITH_NO,RANDWICK_NO2,PENRITH_NO2,RANDWICK_PM10,PENRITH_PM10,RANDWICK_PM2.5,PENRITH_PM2.5
15/08/2023,0,0,0.3,0.7,0.8,0.8,8,8.9,3.1,4.6
16/08/2023,0.1,0,0.7,0.7,1.1,0.9,7.2,11.5,2.4,5.8
17/08/2023,0.1,0,1.3,1.2,1.5,1.1,13.6,13.2,5.9,9.6
18/08/2023,0.1,0,0.4,0.1,1.2,0.5,8,8.4,5.9,3.5
19/08/2023,0,0,0,0.2,0.5,0.7,7.7,11.9,4.2,6
20/08/2023,0,0,0,0.1,0.6,0.7,8.1,11.4,1.8,9.1
21/08/2023,0.3,0,0.9,0.6,1.4,1.1,12.9,12.5,5.1,6.3
22/08/2023,,0,1,1.2,1.4,0.8,17.9,13.8,7.8,7
23/08/2023,0.1,0.1,0.1,0.6,0.7,0.9,12.1,14,3.2,5.6
24/08/2023,0.1,0,0.4,0.4,0.9,1.1,11.2,15.6,4.1,5.5
25/08/2023,0.1,0.1,0.9,1.5,1.3,1.4,15.7,18.7,7.7,8.9
26/08/2023,0.1,0.1,1.1,0.5,1,1,15.3,17.9,8.5,9.1
27/08/2023,0.2,0.1,0.8,0.1,1,0.7,14.4,18.1,8.6,12.6
28/08/2023,0.1,0,0.7,0.4,1,0.7,12.8,11.8,4.8,7
29/08/2023,0.2,0.1,0.5,0.8,1,1,13.7,17.9,6.6,10.6
30/08/2023,0.1,0,0.4,0.6,1.3,0.8,16.4,15,8.3,8.2
31/08/2023,0,0,0.6,0.8,1,1.1,14.3,14.4,5.3,5.9
1/09/2023,0,0.1,0.1,0.7,0.6,1,12.6,14.9,4.1,5.7
2/09/2023,0,0,0.1,0.1,0.5,0.7,12.3,12.1,2.4,4.1
3/09/2023,0,0,0.1,0,0.8,0.5,11.6,11.1,4.6,4.4
4/09/2023,0.1,0.1,0.7,0.3,0.9,0.8,17.9,15.7,5.6,6.9
5/09/2023,0.1,0,0.7,0.2,1.5,0.6,16,13.8,8.1,4.2
6/09/2023,0.1,0.2,0.3,0.8,0.7,1,18.2,18.5,5.4,5.7
7/09/2023,0.3,0.1,0.6,0.3,1,1,28.4,23.8,14.4,9.4
8/09/2023,0,0,0.1,0.1,0.7,0.2,8.8,7,4.6,2.5
9/09/2023,0,0,0,0.1,0.5,0.4,8.9,9.1,3.5,2.8
10/09/2023,0,0.1,0.2,0.1,0.6,0.7,11.4,20.9,4.7,17.4
11/09/2023,0,0.1,0.9,0.5,1.1,1.2,32.3,24.6,32,17.7
12/09/2023,0.3,0.1,0.9,0.6,1.5,1.4,89,40.8,67.7,40.7
13/09/2023,0.2,0.1,0.8,0.9,1.5,1.6,29.3,28.8,23.4,20.4
14/09/2023,0.2,0.1,1,0.8,1.5,1.6,50.5,32.3,42.2,24.7
15/09/2023,0.4,0.1,0.4,0.4,1.6,1.4,28,21.7,15.8,10.7
16/09/2023,0.1,0,0.4,0.3,1.8,1.4,25.1,23.1,14.6,9.6
17/09/2023,0.1,0,0.1,0.1,1.1,0.7,18.2,12.8,8.2,6.2
18/09/2023,0.2,0,0.5,0.4,1.3,1.4,30.4,18.3,11.5,7.5
19/09/2023,0.1,,0.5,,1.5,,34.2,27.7,15.8,12.6
20/09/2023,,0.1,,0,,0.5,,22.1,,7.8
21/09/2023,0,0.1,0,0.2,0.3,0.6,21.2,22.7,7.1,6
22/09/2023,0,0.1,0,0.1,0.3,0.7,13.1,17.1,4.3,4.4
23/09/2023,0,0,0.2,0.1,0.7,0.8,9,13.2,3,4.4
24/09/2023,0.1,0,0.4,0,0.8,0.5,9.9,10.8,5.5,5.3
25/09/2023,0.3,0,0.3,0.3,0.9,1.1,14.4,16.6,4.9,7.6
26/09/2023,0.1,0,0.3,0.2,0.7,1.2,23.1,26.4,8.8,8.8
27/09/2023,0.1,0.1,0.3,0.2,0.8,0.9,17.3,24.2,8.8,10.4
28/09/2023,0,0,0,0.2,0.2,0.8,12.4,,3.9,5.7
29/09/2023,0.1,0,0.8,0.6,1.3,1.3,16.8,,7.9,8.9
30/09/2023,0.1,0.2,0.3,0.1,0.7,0.9,20.6,18.1,9,10.8
1/10/2023,0,0,0,0.1,0.6,0.6,25.6,23.9,8.7,8.9
2/10/2023,0,0,0,0,0.1,0.3,36,34.4,9.7,10.7
3/10/2023,0.2,0,0.1,0.2,0.6,0.5,40.7,22,15.8,5.5
4/10/2023,0.1,0,0,0,0.4,0.3,28.1,16.2,12,5.9
5/10/2023,0,0,0,0.1,0.5,0.3,7,7,2.9,1.7
6/10/2023,0,0,0.1,0.3,0.5,0.7,15.4,13.9,5,5.3
7/10/2023,0,0.1,0,0.1,0.2,0.5,16.3,13.4,4.6,5.1
8/10/2023,0,0,0,0,0.5,0.3,9.7,9,2.7,2.7
9/10/2023,0.1,0.1,0.5,0.4,0.7,0.9,14.1,16,4.2,5.6
10/10/2023,0,,0.3,,0.5,,20.2,23.5,6.9,10.3
11/10/2023,0.1,0.1,0.2,0.1,0.4,0.6,17,19.9,4.8,6.7
12/10/2023,0.2,0,0.4,0.3,0.8,0.5,21.2,15.2,8.2,6.7
13/10/2023,-0.7,0,0.3,0.1,0.5,0.5,6.9,9.8,3.7,4.3
14/10/2023,0,0,0.1,0.1,0.7,0.4,8.3,9,3.1,3.8
15/10/2023,0,0,0,0,0.3,0.5,11.4,13.6,3,5.9
16/10/2023,0.1,0,0.4,0.2,1,0.5,13.4,15.8,5.5,3.5
17/10/2023,0,0.1,0.1,0.2,0.4,0.5,15.3,12.9,4.6,4.7
